ID;Ripetizione;Q;Colonna1;Colonna2;Colonna3;Colonna4;Colonna5;Colonna6;Colonna7;Colonna8;Colonna9;Colonna10;Colonna11;Colonna12;Colonna13;E;Colonna14;Colonna15;Point
52343;3;38,8245;25,0611;1,45497;0,150037;1004,25;997,524;1007,81;0,0868581;93,449;4;1007,74;93,419;4030;1007,82;0,00812094;1;T;Q3(40) (3)
52343;3;38,8873;25,055;1,46125;0,151156;1004,11;997,526;1007,67;0,0873254;93,285;4;1007,6;93,2687;4032;1008,18;0,0571981;1;T;Q3(40) (2)
52343;3;38,4052;25,0519;1,43004;0,145832;1000,73;997,527;1004,27;0,121199;94,138;4;1004,21;94,1089;4018;1004,81;0,0600166;1;T;Q3(40) (1)
52343;4;0,167864;25,0769;0,711287;-0,00259892;29,783;997,52;29,8887;0,453189;640,989;100;29,8877;640,811;2856;28,5679;-4,41574;1;F;Q2(0,16) (3)
52343;4;0,168308;24,9222;0,71331;-0,00256859;29,802;997,56;29,9066;0,427673;639,682;100;29,9056;639,573;2834;28,3448;-5,21896;1;F;Q2(0,16) (2)
52343;4;0,168379;24,9281;0,714707;-0,00250991;29,786;997,559;29,8905;0,39744;639,07;100;29,8896;638,838;2831;28,3203;-5,25021;1;F;Q2(0,16) (1)
52343;5;0,104801;25,2016;0,79615;-0,0024193;14,861;997,488;14,9142;0,691757;512,314;100;14,9137;512,136;1364;13,6447;-8,50844;1;F;Q1(0,1) (3)
52343;5;0,104827;25,145;0,79393;-0,00262365;14,869;997,503;14,922;0,672638;512,456;100;14,9215;512,2;1360;13,6068;-8,81064;0;F;Q1(0,1) (2)
52343;5;0,105084;25,1109;0,793682;-0,00252871;14,854;997,512;14,9068;0,670239;510,685;100;14,9063;510,404;1350;13,5074;-9,38437;1;F;Q1(0,1) (1)
52344;3;38,8245;25,0611;1,30493;0,150037;1004,25;997,524;1007,81;0,0868581;93,449;4;1007,75;93,4313;4027;1006,94;-0,0801401;1;T;Q3(40) (3)
52344;3;38,8873;25,055;1,3101;0,151156;1004,11;997,526;1007,67;0,0873254;93,285;4;1007,61;93,261;4029;1007,51;-0,00964238;1;T;Q3(40) (2)
52344;3;38,4052;25,0519;1,28421;0,145832;1000,73;997,527;1004,27;0,121199;94,138;4;1004,22;94,1315;4015;1003,82;-0,0393987;1;T;Q3(40) (1)
52344;4;0,167864;25,0769;0,713885;-0,00259892;29,783;997,52;29,8887;0,453189;640,989;100;29,8877;640,722;2734;27,3514;-8,48613;1;F;Q2(0,16) (3)
52344;4;0,168308;24,9222;0,715879;-0,00256859;29,802;997,56;29,9066;0,427673;639,682;100;29,9056;639,28;2713;27,1471;-9,22404;1;F;Q2(0,16) (2)
52344;4;0,168379;24,9281;0,717217;-0,00250991;29,786;997,559;29,8905;0,39744;639,07;100;29,8896;638,944;2732;27,3254;-8,57889;1;F;Q2(0,16) (1)
52344;5;0,104801;25,2016;0,798569;-0,0024193;14,861;997,488;14,9142;0,691757;512,314;100;14,9137;511,776;1264;12,6533;-15,1565;1;F;Q1(0,1) (3)
52344;5;0,104827;25,145;0,796554;-0,00262365;14,869;997,503;14,922;0,672638;512,456;100;14,9215;512,214;1265;12,656;-15,1829;1;F;Q1(0,1) (2)
52344;5;0,105084;25,1109;0,796211;-0,00252871;14,854;997,512;14,9068;0,670239;510,685;100;14,9063;510,345;1255;12,5584;-15,7513;1;F;Q1(0,1) (1)
52345;3;38,8245;25,0611;1,1549;0,150037;1004,25;997,524;1007,81;0,0868581;93,449;4;1007,76;93,4239;4029;1007,52;-0,0232953;1;T;Q3(40) (3)
52345;3;38,8873;25,055;1,15894;0,151156;1004,11;997,526;1007,67;0,0873254;93,285;4;1007,61;93,2732;4025;1006,38;-0,12264;1;T;Q3(40) (2)
52345;3;38,4052;25,0519;1,13838;0,145832;1000,73;997,527;1004,27;0,121199;94,138;4;1004,22;94,1162;4017;1004,48;0,0259147;1;T;Q3(40) (1)
52345;4;0,167864;25,0769;0,716484;-0,00259892;29,783;997,52;29,8887;0,453189;640,989;100;29,8877;640,628;2837;28,386;-5,02457;1;F;Q2(0,16) (3)
52345;4;0,168308;24,9222;0,718448;-0,00256859;29,802;997,56;29,9066;0,427673;639,682;100;29,9056;639,36;2840;28,4143;-4,98652;1;F;Q2(0,16) (2)
52345;4;0,168379;24,9281;0,719727;-0,00250991;29,786;997,559;29,8905;0,39744;639,07;100;29,8896;638,858;2834;28,3494;-5,15287;1;F;Q2(0,16) (1)
52345;5;0,104801;25,2016;0,800989;-0,0024193;14,861;997,488;14,9142;0,691757;512,314;100;14,9137;512,074;1368;13,6864;-8,22913;1;F;Q1(0,1) (3)
52345;5;0,104827;25,145;0,799177;-0,00262365;14,869;997,503;14,922;0,672638;512,456;100;14,9215;511,951;1364;13,6534;-8,49801;1;F;Q1(0,1) (2)
52345;5;0,105084;25,1109;0,79874;-0,00252871;14,854;997,512;14,9068;0,670239;510,685;100;14,9063;510,499;1378;13,785;-7,52207;1;F;Q1(0,1) (1)
52346;3;38,8245;25,0611;1,00486;0,150037;1004,25;997,524;1007,81;0,0868581;93,449;4;1007,76;93,4395;4032;1008,1;0,0337116;1;T;Q3(40) (3)
52346;3;38,8873;25,055;1,00778;0,151156;1004,11;997,526;1007,67;0,0873254;93,285;4;1007,62;93,2712;4032;1008,15;0,0524137;1;T;Q3(40) (2)
52346;3;38,4052;25,0519;0,992546;0,145832;1000,73;997,527;1004,27;0,121199;94,138;4;1004,23;94,1055;4017;1004,6;0,0366283;1;T;Q3(40) (1)
52346;4;0,167864;25,0769;0,719083;-0,00259892;29,783;997,52;29,8887;0,453189;640,989;100;29,8877;640,756;2812;28,1302;-5,88023;1;F;Q2(0,16) (3)
52346;4;0,168308;24,9222;0,721016;-0,00256859;29,802;997,56;29,9066;0,427673;639,682;100;29,9056;639,538;2789;27,8963;-6,71875;0;F;Q2(0,16) (2)
52346;5;0,104801;25,2016;0,803408;-0,0024193;14,861;997,488;14,9142;0,691757;512,314;100;14,9137;511,865;1344;13,4518;-9,80226;1;F;Q1(0,1) (3)
52346;5;0,104827;25,145;0,801801;-0,00262365;14,869;997,503;14,922;0,672638;512,456;100;14,9215;511,905;1340;13,4144;-10,0998;1;F;Q1(0,1) (2)
52346;5;0,105084;25,1109;0,801268;-0,00252871;14,854;997,512;14,9068;0,670239;510,685;100;14,9063;510,323;1354;13,5496;-9,10135;1;F;Q1(0,1) (1)
52347;3;38,8245;25,0611;0,854822;0,150037;1004,25;997,524;1007,81;0,0868581;93,449;4;1007,77;93,4249;4029;1007,51;-0,0257516;1;T;Q3(40) (3)
52347;3;38,8873;25,055;0,856629;0,151156;1004,11;997,526;1007,67;0,0873254;93,285;4;1007,63;93,2745;4028;1007,11;-0,0510423;1;T;Q3(40) (2)
52347;3;38,4052;25,0519;0,846713;0,145832;1000,73;997,527;1004,27;0,121199;94,138;4;1004,24;94,0979;4015;1004,18;-0,00572738;1;T;Q3(40) (1)
52347;4;0,167864;25,0769;0,721682;-0,00259892;29,783;997,52;29,8887;0,453189;640,989;100;29,8877;640,688;2696;26,9727;-9,75331;1;F;Q2(0,16) (3)
52347;4;0,168308;24,9222;0,723585;-0,00256859;29,802;997,56;29,9066;0,427673;639,682;100;29,9056;639,644;2696;26,9616;-9,84422;1;F;Q2(0,16) (2)
52347;4;0,168379;24,9281;0,724747;-0,00250991;29,786;997,559;29,8905;0,39744;639,07;100;29,8896;638,809;2686;26,871;-10,0991;1;F;Q2(0,16) (1)
52347;5;0,104801;25,2016;0,805827;-0,0024193;14,861;997,488;14,9142;0,691757;512,314;100;14,9137;511,959;1242;12,4286;-16,663;1;F;Q1(0,1) (3)
52347;5;0,104827;25,145;0,804425;-0,00262365;14,869;997,503;14,922;0,672638;512,456;100;14,9215;511,977;1243;12,4416;-16,6193;1;F;Q1(0,1) (2)
52347;5;0,105084;25,1109;0,803797;-0,00252871;14,854;997,512;14,9068;0,670239;510,685;100;14,9063;510,348;1221;12,2181;-18,0341;1;F;Q1(0,1) (1)
